1.0653587,0.84250325,0.70782984,1.0178784,1.2476827,0.9
1.1355961,0.55885374,0.79370192,1.0346794,1.0067861,0.9
1.1533842,0.42572016,1.055844,1.164042,0.71297054,0.9
1.0678134,0.7504306,1.200051,1.0670009,0.5034942,0.94136145
0.81349649,0.97291951,1.2998549,1.0026658,0.58392542,1.1188041
0.6624666,0.93785503,1.18575,0.77000347,0.94327347,1.2161867
0.62210481,1.0653587,0.84250325,0.70782984,1.0178784,1.2476827
0.9389043,1.1355961,0.55885374,0.79370192,1.0346794,1.0067861
1.1287058,1.1533842,0.42572016,1.055844,1.164042,0.71297054
1.1699535,1.0678134,0.7504306,1.200051,1.0670009,0.5034942
1.2412759,0.81349649,0.97291951,1.2998549,1.0026658,0.58392542
0.98090748,0.6624666,0.93785503,1.18575,0.77000347,0.94327347
0.73311051,0.62210481,1.0653587,0.84250325,0.70782984,1.0178784
0.52596003,0.9389043,1.1355961,0.55885374,0.79370192,1.0346794
0.6313485,1.1287058,1.1533842,0.42572016,1.055844,1.164042
0.97849655,1.1699535,1.0678134,0.7504306,1.200051,1.0670009
1.0578901,1.2412759,0.81349649,0.97291951,1.2998549,1.0026658
1.0888001,0.98090748,0.6624666,0.93785503,1.18575,0.77000347
1.1681297,0.73311051,0.62210481,1.0653587,0.84250325,0.70782984
0.99896471,0.52596003,0.9389043,1.1355961,0.55885374,0.79370192
0.87928027,0.6313485,1.1287058,1.1533842,0.42572016,1.055844
0.66864116,0.97849655,1.1699535,1.0678134,0.7504306,1.200051
0.73694626,1.0578901,1.2412759,0.81349649,0.97291951,1.2998549
0.97850487,1.0888001,0.98090748,0.6624666,0.93785503,1.18575
1.1571565,1.1681297,0.73311051,0.62210481,1.0653587,0.84250325
1.2440406,0.99896471,0.52596003,0.9389043,1.1355961,0.55885374
1.2532851,0.87928027,0.6313485,1.1287058,1.1533842,0.42572016
0.93967388,0.66864116,0.97849655,1.1699535,1.0678134,0.7504306
0.65403177,0.73694626,1.0578901,1.2412759,0.81349649,0.97291951
0.45549437,0.97850487,1.0888001,0.98090748,0.6624666,0.93785503
